101/DT_1B040B3 | 행정구역(시군구)별 주민등록세대수 | 인구 > 주민등록인구현황
777/DT_77701_B001004 | 읍·면별 세대 및 인구(주민등록인구) | 지역통계 > 지자체 기본통계 > 경상북도 > 경상북도고령군기본통계 > 인구
791/DT_791004_B002 | 시·군·구·별 세대 및 인구(주민등록) | 지역통계 > 지자체 기본통계 > 경상남도 > 경상남도창원시기본통계 > 인구
796/DT_79601_B000002 | 읍면동별 세대 및 등록인구 | 지역통계 > 지자체 기본통계 > 경상남도 > 경상남도사천시기본통계 > 인구
797/DT_797001_B003 | 읍면동별 세대 및 인구 | 지역통계 > 지자체 기본통계 > 경상남도 > 경상남도김해시기본통계 > 2015년 이후 > 인구
797/DT_79701_S00000174 | 읍면동별 세대 및 인구 | 지역통계 > 지자체 기본통계 > 경상남도 > 경상남도김해시기본통계 > 2014년 이전 > 인구
798/DT_79801_B003 | 읍면동별 세대 및 인구 | 지역통계 > 지자체 기본통계 > 경상남도 > 경상남도밀양시기본통계 > 인구
800/DT_80001_B000004 | 읍면동별 세대 및 인구 | 지역통계 > 지자체 기본통계 > 경상남도 > 경상남도양산시기본통계 > 인구
801/DT_80101_B005 | 군세대및인구(주민등록) | 지역통계 > 지자체 기본통계 > 경상남도 > 경상남도의령군기본통계 > 인구
802/DT_80201_B002 | 시ㆍ군별 세대 및 인구(주민등록) | 지역통계 > 지자체 기본통계 > 경상남도 > 경상남도함안군기본통계 > 인구
806/DT_80601_B002 | 읍·면별 세대 및 인구(주민등록) | 지역통계 > 지자체 기본통계 > 경상남도 > 경상남도하동군기본통계 > 인구
807/DT_80701_B002 | 읍·면별 세대 및 인구(주민등록) | 지역통계 > 지자체 기본통계 > 경상남도 > 경상남도산청군기본통계 > 인구
809/DT_80901_B002 | 행정구역(시군)별 주민등록 세대 및 인구 | 지역통계 > 지자체 기본통계 > 경상남도 > 경상남도거창군기본통계 > 2011년 > 인구
809/DT_80901_B003 | 행정구역(읍면동)별 세대 및 주민등록인구(외국인포함) | 지역통계 > 지자체 기본통계 > 경상남도 > 경상남도거창군기본통계 > 2011년 > 인구
810/DT_81001_B002 | 시·군별세대및인구(주민등록인구) | 지역통계 > 지자체 기본통계 > 경상남도 > 경상남도합천군기본통계 > 인구
